inverter,hardware_key,serial_num,settings_count,all_settings,iso_setting_found,iso_setting_value,startup_v_found,startup_v_value,iso_register_found,iso_register_value
Inverter 7,H312394,,2,"[{""index"": 0, ""name"": ""dev:RegOffset"", ""value"": 1, ""type"": 1}, {""index"": 1, ""name"": ""dev:baud"", ""value"": 9600, ""type"": 1}]",NO,,NO,,NO,
Inverter 35,H312422,,5,"[{""index"": 0, ""name"": ""dev:RegOffset"", ""value"": 1, ""type"": 1}, {""index"": 1, ""name"": ""dev:UnitID"", ""value"": 35, ""type"": 1}, {""index"": 2, ""name"": ""dev:baud"", ""value"": 9600, ""type"": 1}, {""index"": 3, ""name"": ""dev:TCPPort"", ""value"": ""503"", ""type"": 0}, {""index"": 4, ""name"": ""ModelInfo"", ""value"": ""PV model generated from measured data."", ""type"": 0}]",NO,,NO,,NO,
Inverter 51,H312439,,5,"[{""index"": 0, ""name"": ""dev:RegOffset"", ""value"": 1, ""type"": 1}, {""index"": 1, ""name"": ""dev:UnitID"", ""value"": 51, ""type"": 1}, {""index"": 2, ""name"": ""dev:baud"", ""value"": 9600, ""type"": 1}, {""index"": 3, ""name"": ""dev:TCPPort"", ""value"": ""503"", ""type"": 0}, {""index"": 4, ""name"": ""ModelInfo"", ""value"": ""PV model generated from measured data."", ""type"": 0}]",NO,,NO,,NO,
Inverter 78,H312466,,5,"[{""index"": 0, ""name"": ""dev:RegOffset"", ""value"": 1, ""type"": 1}, {""index"": 1, ""name"": ""dev:UnitID"", ""value"": 78, ""type"": 1}, {""index"": 2, ""name"": ""dev:baud"", ""value"": 9600, ""type"": 1}, {""index"": 3, ""name"": ""dev:TCPPort"", ""value"": ""503"", ""type"": 0}, {""index"": 4, ""name"": ""ModelInfo"", ""value"": ""PV model generated from measured data."", ""type"": 0}]",NO,,NO,,NO,
